##res/people.png
img 0
pt (0,0)
dim (16,16)
anchor
pt (8,10)
hooks
0 hooks
endhooks
collision
pt (1,9)
pt (2,2)
pt (4,0)
pt (11,0)
pt (13,2)
pt (14,9)
pt (14,11)
pt (12,14)
pt (11,15)
pt (4,15)
pt (3,14)
pt (1,11)
pt (1,9)
endcollision
endimg

img 1
pt (16,0)
dim (16,16)
anchor
pt (8,10)
hooks
0 hooks
endhooks
collision
pt (1,9)
pt (2,2)
pt (4,0)
pt (11,0)
pt (13,2)
pt (14,9)
pt (14,10)
pt (12,15)
pt (9,15)
pt (4,14)
pt (1,11)
pt (1,9)
endcollision
endimg

img 2
pt (32,0)
dim (16,16)
anchor
pt (8,10)
hooks
0 hooks
endhooks
collision
pt (1,9)
pt (2,2)
pt (4,0)
pt (11,0)
pt (13,2)
pt (14,9)
pt (14,11)
pt (12,14)
pt (11,15)
pt (4,15)
pt (3,14)
pt (1,11)
pt (1,9)
endcollision
endimg

img 3
pt (48,0)
dim (16,16)
anchor
pt (8,10)
hooks
0 hooks
endhooks
collision
pt (1,9)
pt (2,2)
pt (4,0)
pt (11,0)
pt (13,2)
pt (14,9)
pt (14,11)
pt (11,14)
pt (6,15)
pt (3,15)
pt (1,10)
pt (1,9)
endcollision
endimg

img 4
pt (64,0)
dim (16,16)
anchor
pt (8,10)
hooks
0 hooks
endhooks
collision
pt (1,9)
pt (2,2)
pt (4,0)
pt (11,0)
pt (13,2)
pt (14,9)
pt (14,10)
pt (12,14)
pt (11,15)
pt (4,15)
pt (3,14)
pt (1,10)
pt (1,9)
endcollision
endimg

img 5
pt (80,0)
dim (16,16)
anchor
pt (8,10)
hooks
0 hooks
endhooks
collision
pt (1,9)
pt (2,2)
pt (4,0)
pt (11,0)
pt (13,2)
pt (14,9)
pt (14,11)
pt (11,14)
pt (6,15)
pt (3,15)
pt (1,10)
pt (1,9)
endcollision
endimg

img 6
pt (96,0)
dim (16,16)
anchor
pt (8,10)
hooks
0 hooks
endhooks
collision
pt (1,9)
pt (2,2)
pt (4,0)
pt (11,0)
pt (13,2)
pt (14,9)
pt (14,10)
pt (12,14)
pt (11,15)
pt (4,15)
pt (3,14)
pt (1,10)
pt (1,9)
endcollision
endimg

img 7
pt (112,0)
dim (16,16)
anchor
pt (8,10)
hooks
0 hooks
endhooks
collision
pt (1,9)
pt (2,2)
pt (4,0)
pt (11,0)
pt (13,2)
pt (14,9)
pt (14,10)
pt (12,15)
pt (9,15)
pt (4,14)
pt (1,11)
pt (1,9)
endcollision
endimg

img 8
pt (128,0)
dim (16,16)
anchor
pt (8,10)
hooks
0 hooks
endhooks
collision
pt (1,9)
pt (2,2)
pt (4,0)
pt (11,0)
pt (13,2)
pt (14,9)
pt (14,11)
pt (12,14)
pt (11,15)
pt (4,15)
pt (3,14)
pt (1,11)
pt (1,9)
endcollision
endimg

img 9
pt (144,0)
dim (16,16)
anchor
pt (8,10)
hooks
0 hooks
endhooks
collision
pt (1,8)
pt (2,2)
pt (4,0)
pt (11,0)
pt (13,2)
pt (14,8)
pt (14,11)
pt (12,14)
pt (11,15)
pt (4,15)
pt (3,14)
pt (1,11)
pt (1,8)
endcollision
endimg

img 10
pt (160,0)
dim (16,16)
anchor
pt (8,10)
hooks
0 hooks
endhooks
collision
pt (1,9)
pt (2,2)
pt (4,0)
pt (11,0)
pt (13,2)
pt (14,9)
pt (14,10)
pt (12,14)
pt (11,15)
pt (4,15)
pt (3,14)
pt (1,10)
pt (1,9)
endcollision
endimg

img 11
pt (176,0)
dim (16,16)
anchor
pt (8,10)
hooks
0 hooks
endhooks
collision
pt (1,7)
pt (2,2)
pt (4,0)
pt (11,0)
pt (13,2)
pt (14,7)
pt (14,10)
pt (12,14)
pt (11,15)
pt (4,15)
pt (3,14)
pt (1,10)
pt (1,7)
endcollision
endimg

img 12
pt (192,0)
dim (16,16)
anchor
pt (8,10)
hooks
0 hooks
endhooks
collision
pt (2,5)
pt (5,2)
pt (11,2)
pt (14,5)
pt (14,15)
pt (2,15)
pt (2,5)
endcollision
endimg

img 13
pt (0,16)
dim (16,16)
anchor
pt (8,10)
hooks
0 hooks
endhooks
collision
pt (3,3)
pt (6,0)
pt (11,0)
pt (12,1)
pt (13,4)
pt (13,5)
pt (10,15)
pt (5,15)
pt (4,11)
pt (3,6)
pt (3,3)
endcollision
endimg

img 14
pt (16,16)
dim (16,16)
anchor
pt (8,10)
hooks
0 hooks
endhooks
collision
pt (3,3)
pt (6,0)
pt (11,0)
pt (12,1)
pt (13,4)
pt (13,5)
pt (12,15)
pt (3,15)
pt (3,3)
endcollision
endimg

img 15
pt (32,16)
dim (16,16)
anchor
pt (8,10)
hooks
0 hooks
endhooks
collision
pt (3,3)
pt (6,0)
pt (11,0)
pt (12,1)
pt (13,4)
pt (13,5)
pt (10,15)
pt (5,15)
pt (4,11)
pt (3,6)
pt (3,3)
endcollision
endimg

img 16
pt (48,16)
dim (16,16)
anchor
pt (8,10)
hooks
0 hooks
endhooks
collision
pt (3,3)
pt (6,0)
pt (11,0)
pt (12,1)
pt (13,4)
pt (13,5)
pt (12,15)
pt (3,15)
pt (3,3)
endcollision
endimg

img 17
pt (64,16)
dim (16,16)
anchor
pt (8,10)
hooks
0 hooks
endhooks
collision
pt (2,4)
pt (3,1)
pt (4,0)
pt (9,0)
pt (12,3)
pt (12,15)
pt (3,15)
pt (2,5)
pt (2,4)
endcollision
endimg

img 18
pt (80,16)
dim (16,16)
anchor
pt (8,10)
hooks
0 hooks
endhooks
collision
pt (2,4)
pt (3,1)
pt (4,0)
pt (9,0)
pt (12,3)
pt (12,6)
pt (11,11)
pt (10,15)
pt (5,15)
pt (2,5)
pt (2,4)
endcollision
endimg

img 19
pt (96,16)
dim (16,16)
anchor
pt (8,10)
hooks
0 hooks
endhooks
collision
pt (2,4)
pt (3,1)
pt (4,0)
pt (9,0)
pt (12,3)
pt (12,15)
pt (3,15)
pt (2,5)
pt (2,4)
endcollision
endimg

img 20
pt (112,16)
dim (16,16)
anchor
pt (8,10)
hooks
0 hooks
endhooks
collision
pt (2,4)
pt (3,1)
pt (4,0)
pt (9,0)
pt (12,3)
pt (12,6)
pt (11,11)
pt (10,15)
pt (5,15)
pt (2,5)
pt (2,4)
endcollision
endimg

img 21
pt (128,16)
dim (16,16)
anchor
pt (8,10)
hooks
0 hooks
endhooks
collision
pt (3,3)
pt (6,0)
pt (11,0)
pt (12,1)
pt (13,4)
pt (13,5)
pt (10,15)
pt (5,15)
pt (4,11)
pt (3,6)
pt (3,3)
endcollision
endimg

img 22
pt (144,16)
dim (16,16)
anchor
pt (8,10)
hooks
0 hooks
endhooks
collision
pt (3,3)
pt (6,0)
pt (11,0)
pt (12,1)
pt (13,4)
pt (13,5)
pt (10,15)
pt (5,15)
pt (3,7)
pt (3,3)
endcollision
endimg

img 23
pt (160,16)
dim (16,16)
anchor
pt (8,10)
hooks
